Price,Area,rooms,type,City_District,Date
44000,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
46000,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
20500,18.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
48000,32.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
41500,38.0,1,secondary,"Tashkent, Yunusabad district","June 25, 2023"
24000,18.0,1,secondary,"Tashkent, Mirabad district","June 25, 2023"
46000,42.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
44000,28.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
51000,28.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
46500,34.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
36700,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
44900,28.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
49000,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
51000,34.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
46499,31.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
55000,34.0,1,secondary,"Tashkent, Yunusabad district","June 25, 2023"
44000,32.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
42500,33.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
45500,12.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
47200,33.0,1,secondary,"Tashkent, Yakkasarai district","June 25, 2023"
51900,34.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
52000,28.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
51000,34.0,1,secondary,"Tashkent, Yakkasarai district","June 25, 2023"
46500,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
47000,38.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
41200,42.0,1,secondary,"Tashkent, Uchtepinsky district","June 25, 2023"
43500,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
40000,48.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
47500,38.0,1,secondary,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
30000,30.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
19500,19.0,1,secondary,"Tashkent, Yakkasarai district","June 25, 2023"
53000,58.0,1,secondary,"Tashkent, Almazar district","June 25, 2023"
42500,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
59000,45.0,1,secondary,"Tashkent, Shaikhantahur district","June 25, 2023"
38000,22.0,1,secondary,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
50000,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
49000,40.0,1,secondary,"Tashkent, Yakkasarai district","June 25, 2023"
55000,40.0,1,secondary,"Tashkent, Almazar district","June 25, 2023"
66000,28.0,1,secondary,"Tashkent, Yakkasarai district","June 25, 2023"
38000,42.0,1,secondary,"Tashkent, Mirabad district","June 25, 2023"
39500,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
43000,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
47000,40.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
39500,34.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
60500,38.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
45000,38.0,1,secondary,"Tashkent, Yakkasarai district","June 25, 2023"
56505,33.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
85000,35.0,1,secondary,"Tashkent, Mirabad district","June 25, 2023"
49499,35.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
28000,21.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
41999,38.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
36000,39.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
